name,generic_class,query_family,type,entities,notes
Q1_CompanyProfileIBM,QG1,Local lookup,select,['Corporation'],Local lookup over Corporation. The concrete company name IBM is treated as a query parameter.
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",Shallow rooted retrieval centered on Corporation with direct descriptor and associated entities.
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",Associative retrieval from financial service accounts through holdings to listed securities and underlying securities.
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",Deep traversal from Person to Corporation through the account and holding structure.
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']","Containment retrieval from Corporation to FinancialReport and its contained report elements, statement elements, and disclosures."
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,"['Corporation', 'Industry', 'Country', 'ListedSecurity']","Filtered search over listed securities using corporation industry, country, and traded-value predicates."
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",Aggregation comparing buy and sell quantities per person for the IBM listed security.
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",Comparison query that computes an average selling price and returns IBM transactions below that value.
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",Associative comparison query identifying persons with both buy and sell activity for the same listed security.
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']","Insertion workload with relationship creation across person, account, holding, listed security, and buy transaction."
