execution_order,execution_wave,experiment_id,config_name,activated_class,family_label,scale_label,selected_root,embedding_variant,comparison_goal,n_primary_queries,n_secondary_affected_queries,n_control_queries,execution_rationale
1,Onda 1 — validação inicial,watchitem_g0_sf0.25,watchitem_g0,G0,WatchItem rasa,sf0.25,WatchItem,baseline_document,Baseline raiz WatchItem,9,0,1,"Executar primeiro para validar carga, modelagem, índices e comportamento das queries na menor escala."
2,Onda 1 — validação inicial,watchitem_g2_sf0.25,watchitem_g2,G2,WatchItem rasa,sf0.25,WatchItem,shared_descriptor,Descritor compartilhado,3,6,1,"Executar primeiro para validar carga, modelagem, índices e comportamento das queries na menor escala."
3,Onda 1 — validação inicial,watchitem_g3_sf0.25,watchitem_g3,G3,WatchItem rasa,sf0.25,WatchItem,structural_component,Componente estrutural,3,7,0,"Executar primeiro para validar carga, modelagem, índices e comportamento das queries na menor escala."
4,Onda 1 — validação inicial,watchitem_g4_sf0.25,watchitem_g4,G4,Associativa,sf0.25,WatchItem,associative_partial,Associativa parcial,3,6,1,"Executar primeiro para validar carga, modelagem, índices e comportamento das queries na menor escala."
5,Onda 1 — validação inicial,watchitem_g5_sf0.25,watchitem_g5,G5,Associativa,sf0.25,WatchItem,associative_snapshot,Associativa com snapshot,3,6,1,"Executar primeiro para validar carga, modelagem, índices e comportamento das queries na menor escala."
6,Onda 1 — validação inicial,watchitem_g6_sf0.25,watchitem_g6,G6,Associativa,sf0.25,WatchItem,associative_full,Associativa full,3,6,1,"Executar primeiro para validar carga, modelagem, índices e comportamento das queries na menor escala."
7,Onda 1 — validação inicial,series_g7_sf0.25,series_g7,G7,Containment,sf0.25,Series,containment_baseline,Baseline containment,1,4,5,"Executar primeiro para validar carga, modelagem, índices e comportamento das queries na menor escala."
8,Onda 1 — validação inicial,series_g8_sf0.25,series_g8,G8,Containment,sf0.25,Series,containment_reduced,Containment reduzido,1,4,5,"Executar primeiro para validar carga, modelagem, índices e comportamento das queries na menor escala."
9,Onda 1 — validação inicial,series_g9_sf0.25,series_g9,G9,Containment,sf0.25,Series,containment_full,Containment completo,1,4,5,"Executar primeiro para validar carga, modelagem, índices e comportamento das queries na menor escala."
10,Onda 2 — escala intermediária,watchitem_g0_sf0.5,watchitem_g0,G0,WatchItem rasa,sf0.5,WatchItem,baseline_document,Baseline raiz WatchItem,9,0,1,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
11,Onda 2 — escala intermediária,watchitem_g2_sf0.5,watchitem_g2,G2,WatchItem rasa,sf0.5,WatchItem,shared_descriptor,Descritor compartilhado,3,6,1,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
12,Onda 2 — escala intermediária,watchitem_g3_sf0.5,watchitem_g3,G3,WatchItem rasa,sf0.5,WatchItem,structural_component,Componente estrutural,3,7,0,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
13,Onda 2 — escala intermediária,watchitem_g4_sf0.5,watchitem_g4,G4,Associativa,sf0.5,WatchItem,associative_partial,Associativa parcial,3,6,1,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
14,Onda 2 — escala intermediária,watchitem_g5_sf0.5,watchitem_g5,G5,Associativa,sf0.5,WatchItem,associative_snapshot,Associativa com snapshot,3,6,1,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
15,Onda 2 — escala intermediária,watchitem_g6_sf0.5,watchitem_g6,G6,Associativa,sf0.5,WatchItem,associative_full,Associativa full,3,6,1,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
16,Onda 2 — escala intermediária,series_g7_sf0.5,series_g7,G7,Containment,sf0.5,Series,containment_baseline,Baseline containment,1,4,5,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
17,Onda 2 — escala intermediária,series_g8_sf0.5,series_g8,G8,Containment,sf0.5,Series,containment_reduced,Containment reduzido,1,4,5,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
18,Onda 2 — escala intermediária,series_g9_sf0.5,series_g9,G9,Containment,sf0.5,Series,containment_full,Containment completo,1,4,5,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
19,Onda 3 — escala final,watchitem_g0_sf1,watchitem_g0,G0,WatchItem rasa,sf1,WatchItem,baseline_document,Baseline raiz WatchItem,9,0,1,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
20,Onda 3 — escala final,watchitem_g2_sf1,watchitem_g2,G2,WatchItem rasa,sf1,WatchItem,shared_descriptor,Descritor compartilhado,3,6,1,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
21,Onda 3 — escala final,watchitem_g3_sf1,watchitem_g3,G3,WatchItem rasa,sf1,WatchItem,structural_component,Componente estrutural,3,7,0,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
22,Onda 3 — escala final,watchitem_g4_sf1,watchitem_g4,G4,Associativa,sf1,WatchItem,associative_partial,Associativa parcial,3,6,1,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
23,Onda 3 — escala final,watchitem_g5_sf1,watchitem_g5,G5,Associativa,sf1,WatchItem,associative_snapshot,Associativa com snapshot,3,6,1,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
24,Onda 3 — escala final,watchitem_g6_sf1,watchitem_g6,G6,Associativa,sf1,WatchItem,associative_full,Associativa full,3,6,1,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
25,Onda 3 — escala final,series_g7_sf1,series_g7,G7,Containment,sf1,Series,containment_baseline,Baseline containment,1,4,5,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
26,Onda 3 — escala final,series_g8_sf1,series_g8,G8,Containment,sf1,Series,containment_reduced,Containment reduzido,1,4,5,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
27,Onda 3 — escala final,series_g9_sf1,series_g9,G9,Containment,sf1,Series,containment_full,Containment completo,1,4,5,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
