query_name,generic_class,query_family,query_type,entities_touched,n_entities_touched,Rc,Rc_selected_edges,Rc_status
Q1_CompanyProfileIBM,QG1,Local lookup,select,['Corporation'],1,0,[],single_or_no_terminal
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,3,"['Corporation -- Industry [corporation_has_industry]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",4,3,"['ListedSecurity -- Security [listed_security_represents_security]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",5,4,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",5,4,"['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]', 'ReportElement -- StatementElement [report_element_has_statement_element]', 'FinancialReport -- Disclosure [financial_report_contains_disclosure]']",connected
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,3,"['Corporation -- Industry [corporation_has_industry]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",7,6,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",4,3,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",6,5,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",6,5,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]']",connected
