query_name,generic_class,query_type,entities_touched,selected_root,Rc,D_value,entity_distances_from_root,unreachable_entities,all_entities_reachable,Rc_selected_edges,root_decision_rationale,query_notes
QG1_WatchItemById,QG1,select,['WatchItem'],WatchItem,0,0,{'WatchItem': 0},[],True,[],A query toca apenas WatchItem; WatchItem é a raiz natural.,Busca pontual por identificador único de WatchItem.
QG2_WatchItemByTitle,QG2,select,['WatchItem'],WatchItem,0,0,{'WatchItem': 0},[],True,[],A query toca apenas WatchItem; WatchItem é a raiz natural.,Recuperação simples da entidade raiz por atributo direto.
QG3_RecommendationByGenreAndSubtype,QG3,select,"['WatchItem', 'Genre', 'Movie', 'Series', 'Episode']",WatchItem,4,1,"{'WatchItem': 0, 'Genre': 1, 'Movie': 1, 'Series': 1, 'Episode': 1}",[],True,"['Genre -- WatchItem [has_genre]', 'Movie -- WatchItem [movie_is_watchitem]', 'Series -- WatchItem [series_is_watchitem]', 'Episode -- WatchItem [episode_is_watchitem]']","WatchItem é a entidade central da query e concentra Genre, Movie, Series e Episode no subgrafo conceitual. Essa escolha também fica alinhada ao caso clássico de query rasa centrada em WatchItem.",Query centrada em WatchItem com filtros sobre descritor compartilhado e subtipos/componentes próximos.
QG4_AllPersonsOfTypeForWatchItem,QG4,select,"['WatchItem', 'Role', 'Person']",WatchItem,2,2,"{'WatchItem': 0, 'Role': 1, 'Person': 2}",[],True,"['Person -- Role [person_in_role]', 'Role -- WatchItem [role_of_watchitem]']","Embora a query atravesse o caminho associativo WatchItem -> Role -> Person, ela é semanticamente centrada no watch item. Por isso, WatchItem foi mantido como raiz documental.","Consulta associativa que parte de WatchItem, passa por Role e alcança Person."
QG5_AllPersonsForEpisodesOfSeries,QG5,select,"['Series', 'Episode', 'WatchItem', 'Role', 'Person']",WatchItem,4,2,"{'Series': 1, 'Episode': 1, 'WatchItem': 0, 'Role': 1, 'Person': 2}",[],True,"['Series -- WatchItem [series_is_watchitem]', 'Episode -- WatchItem [episode_is_watchitem]', 'Person -- Role [person_in_role]', 'Role -- WatchItem [role_of_watchitem]']","A query parte semanticamente de Series, mas no subgrafo mínimo WatchItem funciona como entidade mais central de ligação entre Series, Episode, Role e Person. Além disso, manter WatchItem como raiz ajuda a comparar esta query com a família associativa centrada no agregado principal.",Travessia multi-hop que percorre Series -> Episode -> WatchItem -> Role -> Person.
QG6_EpisodesOfSeries,QG6,select,"['Series', 'Episode']",Series,1,1,"{'Series': 0, 'Episode': 1}",[],True,['Series -- Episode [series_contains_episode]'],A query representa um caso de containment/composição; Series é a raiz natural do agregado Series -> Episode.,Query de containment para a relação parte-todo Series -> Episode.
QG7_UpdateWatchItemMetadata,QG7,update,['WatchItem'],WatchItem,0,0,{'WatchItem': 0},[],True,[],A query toca apenas WatchItem; WatchItem é a raiz natural.,"Escrita isolada sobre a entidade raiz, sem criação de novo relacionamento."
QG8_AddPersonRoleToWatchItem,QG8,insert,"['Person', 'WatchItem', 'Role']",WatchItem,2,2,"{'Person': 2, 'WatchItem': 0, 'Role': 1}",[],True,"['Person -- Role [person_in_role]', 'Role -- WatchItem [role_of_watchitem]']","Role é uma entidade associativa muito central estruturalmente, mas a decisão documental aqui é centrada em WatchItem, porque o vínculo criado é interpretado como parte do agregado do item.",Escrita com criação de vínculo estrutural via entidade associativa.
QG9_TopRatedSeriesByGenre,QG9,select,"['WatchItem', 'Series', 'Genre']",WatchItem,2,1,"{'WatchItem': 0, 'Series': 1, 'Genre': 1}",[],True,"['Genre -- WatchItem [has_genre]', 'Series -- WatchItem [series_is_watchitem]']","Embora o ranking seja sobre Series, a estrutura da query passa por Genre e pelo subtipo Series como componente de WatchItem. Por isso, WatchItem foi escolhido como raiz principal.",Consulta analítica com agrupamento/ordenação sobre Series e descritor de gênero.
QG10_AdvancedSearchWatchItems,QG10,select,"['WatchItem', 'Genre', 'Movie', 'Series', 'Episode']",WatchItem,4,1,"{'WatchItem': 0, 'Genre': 1, 'Movie': 1, 'Series': 1, 'Episode': 1}",[],True,"['Genre -- WatchItem [has_genre]', 'Movie -- WatchItem [movie_is_watchitem]', 'Series -- WatchItem [series_is_watchitem]', 'Episode -- WatchItem [episode_is_watchitem]']","A busca avançada continua centrada na entidade raiz WatchItem, com filtros adicionais sobre descritor e subtipo.",Busca mais extensa com múltiplos filtros e ordenação/ranking.
