query_name,selected_root,Rc,D_value,entity_distances_from_root,all_entities_reachable,Rc_selected_edges,root_decision_rationale,n_association,n_associative,n_containment,n_associative_detail,n_containment_detail,n_descriptive_association,n_structural_association,n_shared_descriptor_edges,n_structural_component_edges,n_associative_bridge_edges,n_containment_edges
QG1_WatchItemById,WatchItem,0,0,{'WatchItem': 0},True,[],A query toca apenas WatchItem; WatchItem é a raiz natural.,0,0,0,0,0,0,0,0,0,0,0
QG2_WatchItemByTitle,WatchItem,0,0,{'WatchItem': 0},True,[],A query toca apenas WatchItem; WatchItem é a raiz natural.,0,0,0,0,0,0,0,0,0,0,0
QG3_RecommendationByGenreAndSubtype,WatchItem,4,1,"{'WatchItem': 0, 'Genre': 1, 'Movie': 1, 'Series': 1, 'Episode': 1}",True,"['Genre -- WatchItem [has_genre]', 'Movie -- WatchItem [movie_is_watchitem]', 'Series -- WatchItem [series_is_watchitem]', 'Episode -- WatchItem [episode_is_watchitem]']","WatchItem é a entidade central da query e concentra Genre, Movie, Series e Episode no subgrafo conceitual. Essa escolha também fica alinhada ao caso clássico de query rasa centrada em WatchItem.",4,0,0,0,0,1,3,1,3,0,0
QG4_AllPersonsOfTypeForWatchItem,WatchItem,2,2,"{'WatchItem': 0, 'Role': 1, 'Person': 2}",True,"['Person -- Role [person_in_role]', 'Role -- WatchItem [role_of_watchitem]']","Embora a query atravesse o caminho associativo WatchItem -> Role -> Person, ela é semanticamente centrada no watch item. Por isso, WatchItem foi mantido como raiz documental.",0,2,0,2,0,0,0,0,0,2,0
QG5_AllPersonsForEpisodesOfSeries,WatchItem,4,2,"{'Series': 1, 'Episode': 1, 'WatchItem': 0, 'Role': 1, 'Person': 2}",True,"['Series -- WatchItem [series_is_watchitem]', 'Episode -- WatchItem [episode_is_watchitem]', 'Person -- Role [person_in_role]', 'Role -- WatchItem [role_of_watchitem]']","A query parte semanticamente de Series, mas no subgrafo mínimo WatchItem funciona como entidade mais central de ligação entre Series, Episode, Role e Person. Além disso, manter WatchItem como raiz ajuda a comparar esta query com a família associativa centrada no agregado principal.",2,2,0,2,0,0,2,0,2,2,0
QG6_EpisodesOfSeries,Series,1,1,"{'Series': 0, 'Episode': 1}",True,['Series -- Episode [series_contains_episode]'],A query representa um caso de containment/composição; Series é a raiz natural do agregado Series -> Episode.,0,0,1,0,1,0,0,0,0,0,1
QG7_UpdateWatchItemMetadata,WatchItem,0,0,{'WatchItem': 0},True,[],A query toca apenas WatchItem; WatchItem é a raiz natural.,0,0,0,0,0,0,0,0,0,0,0
QG8_AddPersonRoleToWatchItem,WatchItem,2,2,"{'Person': 2, 'WatchItem': 0, 'Role': 1}",True,"['Person -- Role [person_in_role]', 'Role -- WatchItem [role_of_watchitem]']","Role é uma entidade associativa muito central estruturalmente, mas a decisão documental aqui é centrada em WatchItem, porque o vínculo criado é interpretado como parte do agregado do item.",0,2,0,2,0,0,0,0,0,2,0
QG9_TopRatedSeriesByGenre,WatchItem,2,1,"{'WatchItem': 0, 'Series': 1, 'Genre': 1}",True,"['Genre -- WatchItem [has_genre]', 'Series -- WatchItem [series_is_watchitem]']","Embora o ranking seja sobre Series, a estrutura da query passa por Genre e pelo subtipo Series como componente de WatchItem. Por isso, WatchItem foi escolhido como raiz principal.",2,0,0,0,0,1,1,1,1,0,0
QG10_AdvancedSearchWatchItems,WatchItem,4,1,"{'WatchItem': 0, 'Genre': 1, 'Movie': 1, 'Series': 1, 'Episode': 1}",True,"['Genre -- WatchItem [has_genre]', 'Movie -- WatchItem [movie_is_watchitem]', 'Series -- WatchItem [series_is_watchitem]', 'Episode -- WatchItem [episode_is_watchitem]']","A busca avançada continua centrada na entidade raiz WatchItem, com filtros adicionais sobre descritor e subtipo.",4,0,0,0,0,1,3,1,3,0,0
