query_name,generic_class,query_family,query_type,abstract_query,selected_root,document_depth,max_depth_for_query,document_depth_ratio,best_document_depth,is_best_depth,depth_position_label,depth_effect_label,Rc,Re,DeltaR,DeltaRratio,n_reachable_entities,reachable_entities,n_total_edges,n_covered_edges,n_remaining_edges,is_full_coverage,covered_relationships,remaining_relationships,covered_semantic_types,remaining_semantic_types,entities_touched,n_entities_touched,semantic_types_touched,observed_cardinalities_touched,hint_confidences_touched,has_low_confidence_mapping,has_no_match_cardinality,Rc_status,covered_edge_ids,remaining_edge_ids,selection_strategy,selection_reason,max_entity_distance_D,min_entity_distance_D,avg_entity_distance_D,n_unreachable_entities,max_entity_depth,max_edge_depth,n_unique_edges,relationship_status,n_relationship_edges,n_semantic_types,relationship_names_touched,n_low_confidence_edges,n_medium_confidence_edges,n_high_confidence_edges,n_no_match_edges,has_relationship_reduction_potential,touches_association,touches_containment,touches_descriptor,touches_ownership,touches_subtype,n_association_edges,n_containment_edges,n_descriptor_edges,n_ownership_edges,n_subtype_edges,DeltaRratio_at_best_depth,is_full_coverage_at_best_depth
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,"Create a financial service account for a person, add a holding for a listed security, and register a buy transaction with price and quantity.",Person,3,3,1.0,3,True,maximum_depth,full_reduction,5,0,5,1.0,6,"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",5,5,0,True,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",[],"['association', 'containment', 'ownership', 'subtype']",[],"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",6,"['association', 'containment', 'ownership', 'subtype']","['observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",False,False,connected,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",[],update_owner,"The insertion creates a financial service account, holding, and buy transaction associated with a person.",3,0,1.8333333333333333,0,3,3,5,has_relationship_edges,5,4,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",0.0,1.0,4.0,0.0,True,True,True,False,True,True,1,2,0,1,1,1.0,True
Q1_CompanyProfileIBM,QG1,Local lookup,select,Show the profile of company IBM.,Corporation,0,0,0.0,0,True,single_entity_or_depth_zero,no_relationships_to_reduce,0,0,0,0.0,1,['Corporation'],0,0,0,True,[],[],[],[],['Corporation'],1,[],[],[],False,False,single_or_no_terminal,[],[],query_subject,"The query is a local lookup over the profile of one company, represented as Corporation in the conceptual schema.",0,0,0.0,0,0,0,0,no_relationship_edges,0,0,[],0.0,0.0,0.0,0.0,False,False,False,False,False,False,0,0,0,0,0,0.0,True
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,"Show IBM with its industry, country, and listed securities.",Corporation,1,1,1.0,1,True,maximum_depth,full_reduction,3,0,3,1.0,4,"['Corporation', 'Country', 'Industry', 'ListedSecurity']",3,3,0,True,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",[],"['association', 'descriptor']",[],"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,"['association', 'descriptor']","['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",False,True,connected,"['Corporation -- Country [corporation_has_country]', 'Corporation -- Industry [corporation_has_industry]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],query_subject,The query starts from IBM and retrieves directly related descriptor and listed-security information.,1,0,0.75,0,1,1,3,has_relationship_edges,3,2,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",0.0,1.0,2.0,1.0,True,True,False,True,False,False,1,0,2,0,0,1.0,True
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,Show the securities held in each financial service account.,FinancialServiceAccount,3,3,1.0,3,True,maximum_depth,full_reduction,3,0,3,1.0,4,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",3,3,0,True,"['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']",[],"['association', 'containment']",[],"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",4,"['association', 'containment']","['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",False,True,connected,"['FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'ListedSecurity -- Security [listed_security_represents_security]']",[],container_entity,"The query asks for securities held inside each financial service account, so the account is the natural container root.",3,0,1.5,0,3,3,3,has_relationship_edges,3,2,"['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']",0.0,1.0,2.0,1.0,True,True,True,False,False,False,2,1,0,0,0,1.0,True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,"Show the companies reached from a person through account, holding, and listed security.",Person,4,4,1.0,4,True,maximum_depth,full_reduction,4,0,4,1.0,5,"['Corporation', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person']",4,4,0,True,"['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",[],"['association', 'containment', 'ownership']",[],"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",5,"['association', 'containment', 'ownership']","['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",False,True,connected,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],traversal_start,"The query starts from a person and traverses account, holding, and listed security to reach companies.",4,0,2.0,0,4,4,4,has_relationship_edges,4,3,"['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",0.0,1.0,3.0,1.0,True,True,True,False,True,False,2,1,0,1,0,1.0,True
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Show the financial reports of a company and the metric data contained in each report.,Corporation,3,3,1.0,3,True,maximum_depth,full_reduction,4,0,4,1.0,5,"['Corporation', 'Disclosure', 'FinancialReport', 'ReportElement', 'StatementElement']",4,4,0,True,"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']",[],['containment'],[],"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",5,['containment'],"['no_observed_matches', 'observed_N_to_M']","['high', 'low']",True,True,connected,"['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- Disclosure [financial_report_contains_disclosure]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]', 'ReportElement -- StatementElement [report_element_has_statement_element]']",[],query_subject,The query starts from a company and retrieves its financial reports and contained metric data.,3,0,1.6,0,3,3,4,has_relationship_edges,4,1,"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']",2.0,0.0,2.0,2.0,True,False,True,False,False,False,0,4,0,0,0,1.0,True
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,Find listed securities of technology companies in the US with high last traded value.,ListedSecurity,2,2,1.0,2,True,maximum_depth,full_reduction,3,0,3,1.0,4,"['Corporation', 'Country', 'Industry', 'ListedSecurity']",3,3,0,True,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",[],"['association', 'descriptor']",[],"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,"['association', 'descriptor']","['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",False,True,connected,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- Industry [corporation_has_industry]']",[],result_entity,"The query returns listed securities filtered by company industry, country, and traded-value predicates.",2,0,1.25,0,2,2,3,has_relationship_edges,3,2,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",0.0,1.0,2.0,1.0,True,True,False,True,False,False,1,0,2,0,0,1.0,True
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Who bought more IBM stocks than they sold?,Person,4,4,1.0,4,True,maximum_depth,full_reduction,6,0,6,1.0,7,"['BuyTransaction', 'Corporation', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",6,7,0,True,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",[],"['association', 'containment', 'ownership', 'subtype']",[],"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",7,"['association', 'containment', 'ownership', 'subtype']","['no_observed_matches', 'observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",False,True,connected,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],result_entity,The query returns persons after aggregating buy and sell activity for IBM stock.,4,0,2.2857142857142856,0,4,4,7,has_relationship_edges,6,4,"['account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",0.0,3.0,3.0,1.0,True,True,True,False,True,True,2,1,0,1,2,1.0,True
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Show me each transaction for IBM whose price is less than the average selling price.,Transaction,2,2,1.0,2,True,maximum_depth,full_reduction,3,0,3,1.0,4,"['Corporation', 'ListedSecurity', 'SellTransaction', 'Transaction']",3,3,0,True,"['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",[],"['association', 'subtype']",[],"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",4,"['association', 'subtype']","['no_observed_matches', 'observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",False,True,connected,"['SellTransaction -- Transaction [sell_transaction_is_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],result_entity,The query returns transactions for IBM whose price is below the average selling price.,2,0,1.0,0,2,2,3,has_relationship_edges,3,2,"['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",0.0,2.0,1.0,1.0,True,True,False,False,False,True,2,0,0,0,1,1.0,True
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Show me everyone who bought and sold the same stock.,Person,3,3,1.0,3,True,maximum_depth,full_reduction,5,0,5,1.0,6,"['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",5,6,0,True,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",[],"['association', 'containment', 'ownership', 'subtype']",[],"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",6,"['association', 'containment', 'ownership', 'subtype']","['observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",False,False,connected,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",[],result_entity,The query returns persons who bought and sold the same stock.,3,0,2.0,0,3,3,6,has_relationship_edges,5,4,"['account_records_transaction', 'buy_transaction_is_transaction', 'person_owns_financial_service_account', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",0.0,2.0,3.0,0.0,True,True,True,False,True,True,1,1,0,1,2,1.0,True
