query_name,generic_class,query_family,query_type,selected_root,selection_strategy,selection_reason,entities_touched,candidate_roots,selected_root_is_candidate,selected_root_is_touched,n_entities_touched,Rc,Rc_status
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,query_subject,"The query is a local lookup over the profile of one company, represented as Corporation in the conceptual schema.",['Corporation'],['Corporation'],True,True,1,0,single_or_no_terminal
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,query_subject,The query starts from IBM and retrieves directly related descriptor and listed-security information.,"['Corporation', 'Industry', 'Country', 'ListedSecurity']","['Corporation', 'Industry', 'Country', 'ListedSecurity']",True,True,4,3,connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,container_entity,"The query asks for securities held inside each financial service account, so the account is the natural container root.","['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']","['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",True,True,4,3,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,traversal_start,"The query starts from a person and traverses account, holding, and listed security to reach companies.","['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']","['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",True,True,5,4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,query_subject,The query starts from a company and retrieves its financial reports and contained metric data.,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']","['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",True,True,5,4,connected
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,result_entity,"The query returns listed securities filtered by company industry, country, and traded-value predicates.","['Corporation', 'Industry', 'Country', 'ListedSecurity']","['Corporation', 'Industry', 'Country', 'ListedSecurity']",True,True,4,3,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,result_entity,The query returns persons after aggregating buy and sell activity for IBM stock.,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']","['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",True,True,7,6,connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,result_entity,The query returns transactions for IBM whose price is below the average selling price.,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']","['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",True,True,4,3,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,result_entity,The query returns persons who bought and sold the same stock.,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']","['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",True,True,6,5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,update_owner,"The insertion creates a financial service account, holding, and buy transaction associated with a person.","['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']","['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",True,True,6,5,connected
