official_id,query_name,scale_label,run_phase,query_group,n_tested_configs,n_activated_configs,DSR,best_config,best_group,best_design_pattern,best_p95_ms,top1_preserved_by_activated,near_best_preserved_by_activated,activated_regret,best_activated_config,best_activated_p95_ms,best_primary_config,best_primary_p95_ms,primary_regret
IC1,IC1_TransitiveFriendsWithName,sf1,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,227.727482256887,True,True,0.0,G3,227.727482256887,G3,227.727482256887,0.0
IC2,IC2_RecentMessagesByFriends,sf1,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,37.090558947238605,True,True,0.0,G3,37.090558947238605,G3,37.090558947238605,0.0
IC3,IC3_FriendsAndFriendsOfFriendsInCountries,sf1,hot,complex_read,4,4,0.6,G7,secondary_affected,containment_baseline,191.8174951424589,True,True,0.0,G7,191.8174951424589,G3,196.6271597528248,0.025074170668289986
IC4,IC4_NewTopics,sf1,hot,complex_read,2,2,0.8,G0,primary,root_with_references,66.38714834698476,True,True,0.0,G0,66.38714834698476,G0,66.38714834698476,0.0
IC5,IC5_NewGroups,sf1,hot,complex_read,6,6,0.4,G6,secondary_affected,referenced_or_reverse_indexed_edges,176.75362160953227,True,True,0.0,G6,176.75362160953227,G0,185.6731383522856,0.05046299284581281
IC6,IC6_TagCoOccurrence,sf1,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,198.5287466013688,True,True,0.0,G3,198.5287466013688,G3,198.5287466013688,0.0
IC7,IC7_RecentLikers,sf1,hot,complex_read,4,4,0.6,G3,primary,root_with_references_or_summaries,7.0093220987473615,True,True,0.0,G3,7.0093220987473615,G3,7.0093220987473615,0.0
INS1,INS1_AddPerson,sf1,hot,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.6241159406490615,True,True,0.0,G3,1.6241159406490615,G3,1.6241159406490615,0.0
INS2,INS2_AddLikeToPost,sf1,hot,insert,2,2,0.8,G6,primary,referenced_or_reverse_indexed_edges,1.159712503431365,True,True,0.0,G6,1.159712503431365,G6,1.159712503431365,0.0
INS3,INS3_AddLikeToComment,sf1,hot,insert,2,2,0.8,G6,primary,referenced_or_reverse_indexed_edges,1.868959490093402,True,True,0.0,G6,1.868959490093402,G6,1.868959490093402,0.0
INS4,INS4_AddForum,sf1,hot,insert,2,2,0.8,G0,primary,root_with_references,1.39100500382483,True,True,0.0,G0,1.39100500382483,G0,1.39100500382483,0.0
INS5,INS5_AddForumMembership,sf1,hot,insert,2,2,0.8,G4,primary,explicit_edge_collection,2.4009961780393496,True,True,0.0,G4,2.4009961780393496,G4,2.4009961780393496,0.0
INS6,INS6_AddPost,sf1,hot,insert,4,4,0.6,G9,secondary_affected,hybrid_containment,2.18829244695371,True,True,0.0,G9,2.18829244695371,G3,2.343452487548347,0.07090461826097923
INS7,INS7_AddComment,sf1,hot,insert,4,4,0.6,G9,secondary_affected,hybrid_containment,2.159610408125445,True,True,0.0,G9,2.159610408125445,G3,2.172901641461067,0.0061544588253577516
INS8,INS8_AddFriendship,sf1,hot,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.9326052322867329,True,True,0.0,G3,1.9326052322867329,G3,1.9326052322867329,0.0
IS1,IS1_ProfileOfPerson,sf1,hot,short_read,2,2,0.8,G0,primary,root_with_references,2.110691754205618,True,True,0.0,G0,2.110691754205618,G0,2.110691754205618,0.0
IS2,IS2_RecentMessagesOfPerson,sf1,hot,short_read,6,6,0.4,G9,secondary_affected,hybrid_containment,3.2308551410096698,True,True,0.0,G9,3.2308551410096698,,,
IS3,IS3_FriendsOfPerson,sf1,hot,short_read,2,2,0.8,G0,primary,root_with_references,2.270170148403849,True,True,0.0,G0,2.270170148403849,G0,2.270170148403849,0.0
IS4,IS4_ContentOfMessage,sf1,hot,short_read,2,1,0.9,G0,control,root_with_references,2.2880744814756326,False,False,0.5178098346020632,G1,3.4728619502857314,G1,3.4728619502857314,0.5178098346020632
IS5,IS5_CreatorOfMessage,sf1,hot,short_read,2,2,0.8,G0,primary,root_with_references,2.577594298054464,True,True,0.0,G0,2.577594298054464,G0,2.577594298054464,0.0
IS6,IS6_ForumOfMessage,sf1,hot,short_read,4,4,0.6,G9,primary,hybrid_containment,2.301289017486852,True,True,0.0,G9,2.301289017486852,G9,2.301289017486852,0.0
IS7,IS7_RepliesOfMessage,sf1,hot,short_read,4,4,0.6,G9,secondary_affected,hybrid_containment,11.009078891947864,True,True,0.0,G9,11.009078891947864,G0,11.44705885089934,0.0397835244210866
