query_name,generic_class,query_family,query_type,entities_touched,n_entities_touched,abstract_query,Rc,Rc_status,Rc_selected_edges,selected_root,selection_strategy,selection_reason,selected_root_is_candidate,selected_root_is_touched,max_entity_distance_D,min_entity_distance_D,avg_entity_distance_D,n_unreachable_entities,max_entity_depth,max_edge_depth,n_unique_edges,edge_depths,structural_semantic_types,structural_relationship_names,best_document_depth,Re_at_best_depth,DeltaR_at_best_depth,DeltaRratio_at_best_depth,n_reachable_entities_at_best_depth,reachable_entities_at_best_depth,is_full_coverage_at_best_depth,final_tested_depth,Re_at_final_depth,DeltaR_at_final_depth,DeltaRratio_at_final_depth,is_full_coverage_at_final_depth,relationship_status,n_relationship_edges,semantic_types_touched,n_semantic_types,relationship_names_touched,edge_ids_touched,touches_association,touches_containment,touches_descriptor,touches_ownership,touches_subtype,n_association_edges,n_containment_edges,n_descriptor_edges,n_ownership_edges,n_subtype_edges,observed_cardinalities_touched,hint_confidences_touched,n_low_confidence_edges,n_medium_confidence_edges,n_high_confidence_edges,n_no_match_edges,has_relationship_reduction_potential,has_full_coverage_at_best_depth,has_low_confidence_mapping,has_no_match_cardinality,compact_matrix_status
Q1_CompanyProfileIBM,QG1,Local lookup,select,['Corporation'],1,Show the profile of company IBM.,0,single_or_no_terminal,[],Corporation,query_subject,"The query is a local lookup over the profile of one company, represented as Corporation in the conceptual schema.",True,True,0,0,0.0,0,0,0,0,[],[],[],0,0,0,0.0,1,['Corporation'],True,0,0,0,0.0,True,no_relationship_edges,0,[],0,[],[],False,False,False,False,False,0,0,0,0,0,[],[],0.0,0.0,0.0,0.0,False,True,False,False,assembled
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,"Show IBM with its industry, country, and listed securities.",3,connected,"['Corporation -- Industry [corporation_has_industry]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",Corporation,query_subject,The query starts from IBM and retrieves directly related descriptor and listed-security information.,True,True,1,0,0.75,0,1,1,3,[1],"['association', 'descriptor']","['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",1,0,3,1.0,4,"['Corporation', 'Country', 'Industry', 'ListedSecurity']",True,1,0,3,1.0,True,has_relationship_edges,3,"['association', 'descriptor']",2,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']","['Corporation -- Industry [corporation_has_industry]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",True,False,True,False,False,1,0,2,0,0,"['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",0.0,1.0,2.0,1.0,True,True,False,True,assembled
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",4,Show the securities held in each financial service account.,3,connected,"['ListedSecurity -- Security [listed_security_represents_security]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",FinancialServiceAccount,container_entity,"The query asks for securities held inside each financial service account, so the account is the natural container root.",True,True,3,0,1.5,0,3,3,3,"[1, 2, 3]","['association', 'containment']","['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']",3,0,3,1.0,4,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",True,3,0,3,1.0,True,has_relationship_edges,3,"['association', 'containment']",2,"['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']","['ListedSecurity -- Security [listed_security_represents_security]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",True,True,False,False,False,2,1,0,0,0,"['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",0.0,1.0,2.0,1.0,True,True,False,True,assembled
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",5,"Show the companies reached from a person through account, holding, and listed security.",4,connected,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",Person,traversal_start,"The query starts from a person and traverses account, holding, and listed security to reach companies.",True,True,4,0,2.0,0,4,4,4,"[1, 2, 3, 4]","['association', 'containment', 'ownership']","['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",4,0,4,1.0,5,"['Corporation', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person']",True,4,0,4,1.0,True,has_relationship_edges,4,"['association', 'containment', 'ownership']",3,"['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']","['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",True,True,False,True,False,2,1,0,1,0,"['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",0.0,1.0,3.0,1.0,True,True,False,True,assembled
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",5,Show the financial reports of a company and the metric data contained in each report.,4,connected,"['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]', 'ReportElement -- StatementElement [report_element_has_statement_element]', 'FinancialReport -- Disclosure [financial_report_contains_disclosure]']",Corporation,query_subject,The query starts from a company and retrieves its financial reports and contained metric data.,True,True,3,0,1.6,0,3,3,4,"[1, 2, 3]",['containment'],"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']",3,0,4,1.0,5,"['Corporation', 'Disclosure', 'FinancialReport', 'ReportElement', 'StatementElement']",True,3,0,4,1.0,True,has_relationship_edges,4,['containment'],1,"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']","['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]', 'ReportElement -- StatementElement [report_element_has_statement_element]', 'FinancialReport -- Disclosure [financial_report_contains_disclosure]']",False,True,False,False,False,0,4,0,0,0,"['no_observed_matches', 'observed_N_to_M']","['high', 'low']",2.0,0.0,2.0,2.0,True,True,True,True,assembled
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,Find listed securities of technology companies in the US with high last traded value.,3,connected,"['Corporation -- Industry [corporation_has_industry]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",ListedSecurity,result_entity,"The query returns listed securities filtered by company industry, country, and traded-value predicates.",True,True,2,0,1.25,0,2,2,3,"[1, 2]","['association', 'descriptor']","['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",2,0,3,1.0,4,"['Corporation', 'Country', 'Industry', 'ListedSecurity']",True,2,0,3,1.0,True,has_relationship_edges,3,"['association', 'descriptor']",2,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']","['Corporation -- Industry [corporation_has_industry]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",True,False,True,False,False,1,0,2,0,0,"['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",0.0,1.0,2.0,1.0,True,True,False,True,assembled
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",7,Who bought more IBM stocks than they sold?,6,connected,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",Person,result_entity,The query returns persons after aggregating buy and sell activity for IBM stock.,True,True,4,0,2.2857142857142856,0,4,4,7,"[1, 2, 3, 4]","['association', 'containment', 'ownership', 'subtype']","['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",4,0,6,1.0,7,"['BuyTransaction', 'Corporation', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",True,4,0,6,1.0,True,has_relationship_edges,6,"['association', 'containment', 'ownership', 'subtype']",4,"['account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']","['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",True,True,False,True,True,2,1,0,1,2,"['no_observed_matches', 'observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",0.0,3.0,3.0,1.0,True,True,False,True,assembled
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",4,Show me each transaction for IBM whose price is less than the average selling price.,3,connected,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",Transaction,result_entity,The query returns transactions for IBM whose price is below the average selling price.,True,True,2,0,1.0,0,2,2,3,"[1, 2]","['association', 'subtype']","['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",2,0,3,1.0,4,"['Corporation', 'ListedSecurity', 'SellTransaction', 'Transaction']",True,2,0,3,1.0,True,has_relationship_edges,3,"['association', 'subtype']",2,"['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']","['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",True,False,False,False,True,2,0,0,0,1,"['no_observed_matches', 'observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",0.0,2.0,1.0,1.0,True,True,False,True,assembled
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",6,Show me everyone who bought and sold the same stock.,5,connected,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",Person,result_entity,The query returns persons who bought and sold the same stock.,True,True,3,0,2.0,0,3,3,6,"[1, 2, 3]","['association', 'containment', 'ownership', 'subtype']","['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",3,0,5,1.0,6,"['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",True,3,0,5,1.0,True,has_relationship_edges,5,"['association', 'containment', 'ownership', 'subtype']",4,"['account_records_transaction', 'buy_transaction_is_transaction', 'person_owns_financial_service_account', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",True,True,False,True,True,1,1,0,1,2,"['observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",0.0,2.0,3.0,0.0,True,True,False,False,assembled
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",6,"Create a financial service account for a person, add a holding for a listed security, and register a buy transaction with price and quantity.",5,connected,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]']",Person,update_owner,"The insertion creates a financial service account, holding, and buy transaction associated with a person.",True,True,3,0,1.8333333333333333,0,3,3,5,"[1, 2, 3]","['association', 'containment', 'ownership', 'subtype']","['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",3,0,5,1.0,6,"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",True,3,0,5,1.0,True,has_relationship_edges,5,"['association', 'containment', 'ownership', 'subtype']",4,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]']",True,True,False,True,True,1,2,0,1,1,"['observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",0.0,1.0,4.0,0.0,True,True,False,False,assembled
