candidate_id,query_name,generic_class,query_family,query_type,g_class,root_entity,collection_name,variant,design_pattern,benchmark_priority,embedded_entities,referenced_entities,materialized_entities,n_embedded_entities,n_referenced_entities,n_materialized_entities,DeltaRratio,query_update_volatility_score,max_observed_sharedness_score,physical_mapping_reliability,combined_document_design_risk_class,rationale,candidate_spec,candidate_spec_json
q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline,Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,CONTROL,Person,persons_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",[],0,5,0,1.0,0.932,0.2958825,ok,strong_read_candidate_high_update_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline', 'query_name': 'Q10_CreateAccountHoldingAndBuyTransaction', 'g_class': 'CONTROL', 'root_entity': 'Person', 'collection_name': 'persons_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline"", ""query_name"": ""Q10_CreateAccountHoldingAndBuyTransaction"", ""g_class"": ""CONTROL"", ""root_entity"": ""Person"", ""collection_name"": ""persons_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""FinancialServiceAccount"", ""Holding"", ""ListedSecurity"", ""Transaction"", ""BuyTransaction""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q1_company_profile_ibm__control__normalized_reference_baseline,Q1_CompanyProfileIBM,QG1,Local lookup,select,CONTROL,Corporation,corporations_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],[],[],0,0,0,0.0,0.0,0.0,ok,low_overall_design_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q1_company_profile_ibm__control__normalized_reference_baseline', 'query_name': 'Q1_CompanyProfileIBM', 'g_class': 'CONTROL', 'root_entity': 'Corporation', 'collection_name': 'corporations_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': [], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q1_company_profile_ibm__control__normalized_reference_baseline"", ""query_name"": ""Q1_CompanyProfileIBM"", ""g_class"": ""CONTROL"", ""root_entity"": ""Corporation"", ""collection_name"": ""corporations_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,CONTROL,Corporation,corporations_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['Industry', 'Country', 'ListedSecurity']",[],0,3,0,1.0,0.36299999999999993,0.2974182444061962,needs_review_no_observed_match,strong_read_candidate_low_maintenance_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline', 'query_name': 'Q2_CompanyWithIndustryCountryAndListedSecurities', 'g_class': 'CONTROL', 'root_entity': 'Corporation', 'collection_name': 'corporations_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['Industry', 'Country', 'ListedSecurity'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline"", ""query_name"": ""Q2_CompanyWithIndustryCountryAndListedSecurities"", ""g_class"": ""CONTROL"", ""root_entity"": ""Corporation"", ""collection_name"": ""corporations_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""Industry"", ""Country"", ""ListedSecurity""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q3_securities_held_in_each_financial_service_account__control__normalized_reference_baseline,Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,CONTROL,FinancialServiceAccount,financial_service_accounts_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['Holding', 'ListedSecurity', 'Security']",[],0,3,0,1.0,0.799,0.2958825,needs_review_no_observed_match,strong_read_candidate_high_update_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q3_securities_held_in_each_financial_service_account__control__normalized_reference_baseline', 'query_name': 'Q3_SecuritiesHeldInEachFinancialServiceAccount', 'g_class': 'CONTROL', 'root_entity': 'FinancialServiceAccount', 'collection_name': 'financial_service_accounts_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['Holding', 'ListedSecurity', 'Security'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q3_securities_held_in_each_financial_service_account__control__normalized_reference_baseline"", ""query_name"": ""Q3_SecuritiesHeldInEachFinancialServiceAccount"", ""g_class"": ""CONTROL"", ""root_entity"": ""FinancialServiceAccount"", ""collection_name"": ""financial_service_accounts_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""Holding"", ""ListedSecurity"", ""Security""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,CONTROL,Person,persons_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",[],0,4,0,1.0,0.7984,0.2958825,needs_review_no_observed_match,strong_read_candidate_high_update_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline', 'query_name': 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'g_class': 'CONTROL', 'root_entity': 'Person', 'collection_name': 'persons_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline"", ""query_name"": ""Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity"", ""g_class"": ""CONTROL"", ""root_entity"": ""Person"", ""collection_name"": ""persons_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""FinancialServiceAccount"", ""Holding"", ""ListedSecurity"", ""Corporation""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q5_reports_and_metric_data_of_company__control__normalized_reference_baseline,Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,CONTROL,Corporation,corporations_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",[],0,4,0,1.0,0.0,0.29462099999999997,needs_review_no_observed_match,strong_read_candidate_low_maintenance_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q5_reports_and_metric_data_of_company__control__normalized_reference_baseline', 'query_name': 'Q5_ReportsAndMetricDataOfCompany', 'g_class': 'CONTROL', 'root_entity': 'Corporation', 'collection_name': 'corporations_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q5_reports_and_metric_data_of_company__control__normalized_reference_baseline"", ""query_name"": ""Q5_ReportsAndMetricDataOfCompany"", ""g_class"": ""CONTROL"", ""root_entity"": ""Corporation"", ""collection_name"": ""corporations_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""FinancialReport"", ""ReportElement"", ""StatementElement"", ""Disclosure""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q6_tech_uslisted_securities_with_high_last_traded_value__control__normalized_reference_baseline,Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,CONTROL,ListedSecurity,listed_securitys_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['Corporation', 'Industry', 'Country']",[],0,3,0,1.0,0.36299999999999993,0.2974182444061962,needs_review_no_observed_match,strong_read_candidate_low_maintenance_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q6_tech_uslisted_securities_with_high_last_traded_value__control__normalized_reference_baseline', 'query_name': 'Q6_TechUSListedSecuritiesWithHighLastTradedValue', 'g_class': 'CONTROL', 'root_entity': 'ListedSecurity', 'collection_name': 'listed_securitys_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['Corporation', 'Industry', 'Country'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q6_tech_uslisted_securities_with_high_last_traded_value__control__normalized_reference_baseline"", ""query_name"": ""Q6_TechUSListedSecuritiesWithHighLastTradedValue"", ""g_class"": ""CONTROL"", ""root_entity"": ""ListedSecurity"", ""collection_name"": ""listed_securitys_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""Corporation"", ""Industry"", ""Country""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q7_persons_who_bought_more_ibmthan_sold__control__normalized_reference_baseline,Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,CONTROL,Person,persons_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",[],0,6,0,1.0,0.7702857142857144,0.2958825,needs_review_no_observed_match,strong_read_candidate_high_update_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q7_persons_who_bought_more_ibmthan_sold__control__normalized_reference_baseline', 'query_name': 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'g_class': 'CONTROL', 'root_entity': 'Person', 'collection_name': 'persons_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q7_persons_who_bought_more_ibmthan_sold__control__normalized_reference_baseline"", ""query_name"": ""Q7_PersonsWhoBoughtMoreIBMThanSold"", ""g_class"": ""CONTROL"", ""root_entity"": ""Person"", ""collection_name"": ""persons_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""FinancialServiceAccount"", ""BuyTransaction"", ""SellTransaction"", ""Transaction"", ""ListedSecurity"", ""Corporation""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q8_ibmtransactions_below_average_selling_price__control__normalized_reference_baseline,Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,CONTROL,Transaction,transactions_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['SellTransaction', 'ListedSecurity', 'Corporation']",[],0,3,0,1.0,0.649,0.2958825,needs_review_no_observed_match,strong_read_candidate_high_update_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q8_ibmtransactions_below_average_selling_price__control__normalized_reference_baseline', 'query_name': 'Q8_IBMTransactionsBelowAverageSellingPrice', 'g_class': 'CONTROL', 'root_entity': 'Transaction', 'collection_name': 'transactions_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['SellTransaction', 'ListedSecurity', 'Corporation'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q8_ibmtransactions_below_average_selling_price__control__normalized_reference_baseline"", ""query_name"": ""Q8_IBMTransactionsBelowAverageSellingPrice"", ""g_class"": ""CONTROL"", ""root_entity"": ""Transaction"", ""collection_name"": ""transactions_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""SellTransaction"", ""ListedSecurity"", ""Corporation""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q9_persons_who_bought_and_sold_same_stock__control__normalized_reference_baseline,Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,CONTROL,Person,persons_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",[],0,5,0,1.0,0.8320000000000001,0.2958825,ok,strong_read_candidate_high_update_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q9_persons_who_bought_and_sold_same_stock__control__normalized_reference_baseline', 'query_name': 'Q9_PersonsWhoBoughtAndSoldSameStock', 'g_class': 'CONTROL', 'root_entity': 'Person', 'collection_name': 'persons_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q9_persons_who_bought_and_sold_same_stock__control__normalized_reference_baseline"", ""query_name"": ""Q9_PersonsWhoBoughtAndSoldSameStock"", ""g_class"": ""CONTROL"", ""root_entity"": ""Person"", ""collection_name"": ""persons_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""FinancialServiceAccount"", ""BuyTransaction"", ""SellTransaction"", ""Transaction"", ""ListedSecurity""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
