query_name,selected_root,test_depth,Rc,edge_id,edge_source,edge_target,source_distance,target_distance,absorbed_by_document
QG3_RecommendationByGenreAndSubtype,WatchItem,0,4,Genre -- WatchItem [has_genre],Genre,WatchItem,1,0,False
QG3_RecommendationByGenreAndSubtype,WatchItem,0,4,Movie -- WatchItem [movie_is_watchitem],Movie,WatchItem,1,0,False
QG3_RecommendationByGenreAndSubtype,WatchItem,0,4,Series -- WatchItem [series_is_watchitem],Series,WatchItem,1,0,False
QG3_RecommendationByGenreAndSubtype,WatchItem,0,4,Episode -- WatchItem [episode_is_watchitem],Episode,WatchItem,1,0,False
QG3_RecommendationByGenreAndSubtype,WatchItem,1,4,Genre -- WatchItem [has_genre],Genre,WatchItem,1,0,True
QG3_RecommendationByGenreAndSubtype,WatchItem,1,4,Movie -- WatchItem [movie_is_watchitem],Movie,WatchItem,1,0,True
QG3_RecommendationByGenreAndSubtype,WatchItem,1,4,Series -- WatchItem [series_is_watchitem],Series,WatchItem,1,0,True
QG3_RecommendationByGenreAndSubtype,WatchItem,1,4,Episode -- WatchItem [episode_is_watchitem],Episode,WatchItem,1,0,True
QG4_AllPersonsOfTypeForWatchItem,WatchItem,0,2,Person -- Role [person_in_role],Person,Role,2,1,False
QG4_AllPersonsOfTypeForWatchItem,WatchItem,0,2,Role -- WatchItem [role_of_watchitem],Role,WatchItem,1,0,False
QG4_AllPersonsOfTypeForWatchItem,WatchItem,1,2,Person -- Role [person_in_role],Person,Role,2,1,False
QG4_AllPersonsOfTypeForWatchItem,WatchItem,1,2,Role -- WatchItem [role_of_watchitem],Role,WatchItem,1,0,True
QG4_AllPersonsOfTypeForWatchItem,WatchItem,2,2,Person -- Role [person_in_role],Person,Role,2,1,True
QG4_AllPersonsOfTypeForWatchItem,WatchItem,2,2,Role -- WatchItem [role_of_watchitem],Role,WatchItem,1,0,True
QG5_AllPersonsForEpisodesOfSeries,WatchItem,0,4,Series -- WatchItem [series_is_watchitem],Series,WatchItem,1,0,False
QG5_AllPersonsForEpisodesOfSeries,WatchItem,0,4,Episode -- WatchItem [episode_is_watchitem],Episode,WatchItem,1,0,False
QG5_AllPersonsForEpisodesOfSeries,WatchItem,0,4,Person -- Role [person_in_role],Person,Role,2,1,False
QG5_AllPersonsForEpisodesOfSeries,WatchItem,0,4,Role -- WatchItem [role_of_watchitem],Role,WatchItem,1,0,False
QG5_AllPersonsForEpisodesOfSeries,WatchItem,1,4,Series -- WatchItem [series_is_watchitem],Series,WatchItem,1,0,True
QG5_AllPersonsForEpisodesOfSeries,WatchItem,1,4,Episode -- WatchItem [episode_is_watchitem],Episode,WatchItem,1,0,True
QG5_AllPersonsForEpisodesOfSeries,WatchItem,1,4,Person -- Role [person_in_role],Person,Role,2,1,False
QG5_AllPersonsForEpisodesOfSeries,WatchItem,1,4,Role -- WatchItem [role_of_watchitem],Role,WatchItem,1,0,True
QG5_AllPersonsForEpisodesOfSeries,WatchItem,2,4,Series -- WatchItem [series_is_watchitem],Series,WatchItem,1,0,True
QG5_AllPersonsForEpisodesOfSeries,WatchItem,2,4,Episode -- WatchItem [episode_is_watchitem],Episode,WatchItem,1,0,True
QG5_AllPersonsForEpisodesOfSeries,WatchItem,2,4,Person -- Role [person_in_role],Person,Role,2,1,True
QG5_AllPersonsForEpisodesOfSeries,WatchItem,2,4,Role -- WatchItem [role_of_watchitem],Role,WatchItem,1,0,True
QG6_EpisodesOfSeries,Series,0,1,Series -- Episode [series_contains_episode],Series,Episode,0,1,False
QG6_EpisodesOfSeries,Series,1,1,Series -- Episode [series_contains_episode],Series,Episode,0,1,True
QG8_AddPersonRoleToWatchItem,WatchItem,0,2,Person -- Role [person_in_role],Person,Role,2,1,False
QG8_AddPersonRoleToWatchItem,WatchItem,0,2,Role -- WatchItem [role_of_watchitem],Role,WatchItem,1,0,False
QG8_AddPersonRoleToWatchItem,WatchItem,1,2,Person -- Role [person_in_role],Person,Role,2,1,False
QG8_AddPersonRoleToWatchItem,WatchItem,1,2,Role -- WatchItem [role_of_watchitem],Role,WatchItem,1,0,True
QG8_AddPersonRoleToWatchItem,WatchItem,2,2,Person -- Role [person_in_role],Person,Role,2,1,True
QG8_AddPersonRoleToWatchItem,WatchItem,2,2,Role -- WatchItem [role_of_watchitem],Role,WatchItem,1,0,True
QG9_TopRatedSeriesByGenre,WatchItem,0,2,Genre -- WatchItem [has_genre],Genre,WatchItem,1,0,False
QG9_TopRatedSeriesByGenre,WatchItem,0,2,Series -- WatchItem [series_is_watchitem],Series,WatchItem,1,0,False
QG9_TopRatedSeriesByGenre,WatchItem,1,2,Genre -- WatchItem [has_genre],Genre,WatchItem,1,0,True
QG9_TopRatedSeriesByGenre,WatchItem,1,2,Series -- WatchItem [series_is_watchitem],Series,WatchItem,1,0,True
QG10_AdvancedSearchWatchItems,WatchItem,0,4,Genre -- WatchItem [has_genre],Genre,WatchItem,1,0,False
QG10_AdvancedSearchWatchItems,WatchItem,0,4,Movie -- WatchItem [movie_is_watchitem],Movie,WatchItem,1,0,False
QG10_AdvancedSearchWatchItems,WatchItem,0,4,Series -- WatchItem [series_is_watchitem],Series,WatchItem,1,0,False
QG10_AdvancedSearchWatchItems,WatchItem,0,4,Episode -- WatchItem [episode_is_watchitem],Episode,WatchItem,1,0,False
QG10_AdvancedSearchWatchItems,WatchItem,1,4,Genre -- WatchItem [has_genre],Genre,WatchItem,1,0,True
QG10_AdvancedSearchWatchItems,WatchItem,1,4,Movie -- WatchItem [movie_is_watchitem],Movie,WatchItem,1,0,True
